,zip_code,都,区,町,Prefecture,District,Area,lat,long
0,1000000,東京都,千代田区,以下に掲載がない場合,TOKYO TO,CHIYODA KU,IKANIKEISAIGANAIBAAI,,
1,1020072,東京都,千代田区,飯田橋,TOKYO TO,CHIYODA KU,IIDABASHI,,
2,1020082,東京都,千代田区,一番町,TOKYO TO,CHIYODA KU,ICHIBANCHO,35.7290556,139.3784156
3,1010032,東京都,千代田区,岩本町,TOKYO TO,CHIYODA KU,IWAMOTOCHO,35.6955998,139.7753793
4,1010047,東京都,千代田区,内神田,TOKYO TO,CHIYODA KU,UCHIKANDA,35.6910378,139.76729
5,1000011,東京都,千代田区,内幸町,TOKYO TO,CHIYODA KU,UCHISAIWAICHO,35.6694261,139.7554597
6,1000004,東京都,千代田区,大手町　（次のビルを除く）,TOKYO TO,CHIYODA KU,OTEMACHI (TSUGINOBIRUONOZOKU),,
7,1006890,東京都,千代田区,大手町　ＪＡビル（地階・階層不明）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(CHIKAI.KAISOFUM,,
8,1006801,東京都,千代田区,大手町　ＪＡビル（１階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(1-KAI),,
9,1006802,東京都,千代田区,大手町　ＪＡビル（２階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(2-KAI),,
10,1006803,東京都,千代田区,大手町　ＪＡビル（３階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(3-KAI),,
11,1006804,東京都,千代田区,大手町　ＪＡビル（４階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(4-KAI),,
12,1006805,東京都,千代田区,大手町　ＪＡビル（５階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(5-KAI),,
13,1006806,東京都,千代田区,大手町　ＪＡビル（６階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(6-KAI),,
14,1006807,東京都,千代田区,大手町　ＪＡビル（７階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(7-KAI),,
15,1006808,東京都,千代田区,大手町　ＪＡビル（８階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(8-KAI),,
16,1006809,東京都,千代田区,大手町　ＪＡビル（９階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(9-KAI),,
17,1006810,東京都,千代田区,大手町　ＪＡビル（１０階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(10-KAI),,
18,1006811,東京都,千代田区,大手町　ＪＡビル（１１階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(11-KAI),,
19,1006812,東京都,千代田区,大手町　ＪＡビル（１２階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(12-KAI),,
20,1006813,東京都,千代田区,大手町　ＪＡビル（１３階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(13-KAI),,
21,1006814,東京都,千代田区,大手町　ＪＡビル（１４階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(14-KAI),,
22,1006815,東京都,千代田区,大手町　ＪＡビル（１５階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(15-KAI),,
23,1006816,東京都,千代田区,大手町　ＪＡビル（１６階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(16-KAI),,
24,1006817,東京都,千代田区,大手町　ＪＡビル（１７階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(17-KAI),,
25,1006818,東京都,千代田区,大手町　ＪＡビル（１８階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(18-KAI),,
26,1006819,東京都,千代田区,大手町　ＪＡビル（１９階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(19-KAI),,
27,1006820,東京都,千代田区,大手町　ＪＡビル（２０階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(20-KAI),,
28,1006821,東京都,千代田区,大手町　ＪＡビル（２１階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(21-KAI),,
29,1006822,東京都,千代田区,大手町　ＪＡビル（２２階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(22-KAI),,
30,1006823,東京都,千代田区,大手町　ＪＡビル（２３階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(23-KAI),,
31,1006824,東京都,千代田区,大手町　ＪＡビル（２４階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(24-KAI),,
32,1006825,東京都,千代田区,大手町　ＪＡビル（２５階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(25-KAI),,
33,1006826,東京都,千代田区,大手町　ＪＡビル（２６階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(26-KAI),,
34,1006827,東京都,千代田区,大手町　ＪＡビル（２７階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(27-KAI),,
35,1006828,東京都,千代田区,大手町　ＪＡビル（２８階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(28-KAI),,
36,1006829,東京都,千代田区,大手町　ＪＡビル（２９階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(29-KAI),,
37,1006830,東京都,千代田区,大手町　ＪＡビル（３０階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(30-KAI),,
38,1006831,東京都,千代田区,大手町　ＪＡビル（３１階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(31-KAI),,
39,1006832,東京都,千代田区,大手町　ＪＡビル（３２階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(32-KAI),,
40,1006833,東京都,千代田区,大手町　ＪＡビル（３３階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(33-KAI),,
41,1006834,東京都,千代田区,大手町　ＪＡビル（３４階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(34-KAI),,
42,1006835,東京都,千代田区,大手町　ＪＡビル（３５階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(35-KAI),,
43,1006836,東京都,千代田区,大手町　ＪＡビル（３６階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(36-KAI),,
44,1006837,東京都,千代田区,大手町　ＪＡビル（３７階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(37-KAI),,
45,1010044,東京都,千代田区,鍛冶町,TOKYO TO,CHIYODA KU,KAJICHO,35.6916889,139.7719416
46,1000013,東京都,千代田区,霞が関　（次のビルを除く）,TOKYO TO,CHIYODA KU,KASUMIGASEKI (TSUGINOBIRUONOZOKU),,
47,1006090,東京都,千代田区,霞が関　霞が関ビル（地階・階層不明,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(CHIKA,,
48,1006001,東京都,千代田区,霞が関　霞が関ビル（１階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(1-KAI,,
49,1006002,東京都,千代田区,霞が関　霞が関ビル（２階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(2-KAI,,
50,1006003,東京都,千代田区,霞が関　霞が関ビル（３階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(3-KAI,,
51,1006004,東京都,千代田区,霞が関　霞が関ビル（４階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(4-KAI,,
52,1006005,東京都,千代田区,霞が関　霞が関ビル（５階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(5-KAI,,
53,1006006,東京都,千代田区,霞が関　霞が関ビル（６階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(6-KAI,,
54,1006007,東京都,千代田区,霞が関　霞が関ビル（７階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(7-KAI,,
55,1006008,東京都,千代田区,霞が関　霞が関ビル（８階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(8-KAI,,
56,1006009,東京都,千代田区,霞が関　霞が関ビル（９階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(9-KAI,,
