,zip_code,prefecture,city,area,lat,long
0,1000000,TOKYO TO,CHIYODA KU,IKANIKEISAIGANAIBAAI,,
1,1020072,TOKYO TO,CHIYODA KU,IIDABASHI,,
2,1020082,TOKYO TO,CHIYODA KU,ICHIBANCHO,35.7290556,139.3784156
3,1010032,TOKYO TO,CHIYODA KU,IWAMOTOCHO,35.6955998,139.7753793
4,1010047,TOKYO TO,CHIYODA KU,UCHIKANDA,35.6910378,139.76729
5,1000011,TOKYO TO,CHIYODA KU,UCHISAIWAICHO,35.6694261,139.7554597
6,1000004,TOKYO TO,CHIYODA KU,OTEMACHI (TSUGINOBIRUONOZOKU),,
7,1006890,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(CHIKAI.KAISOFUM,,
8,1006801,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(1-KAI),,
9,1006802,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(2-KAI),,
10,1006803,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(3-KAI),,
11,1006804,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(4-KAI),,
12,1006805,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(5-KAI),,
13,1006806,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(6-KAI),,
14,1006807,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(7-KAI),,
15,1006808,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(8-KAI),,
16,1006809,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(9-KAI),,
17,1006810,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(10-KAI),,
18,1006811,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(11-KAI),,
19,1006812,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(12-KAI),,
20,1006813,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(13-KAI),,
21,1006814,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(14-KAI),,
22,1006815,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(15-KAI),,
23,1006816,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(16-KAI),,
24,1006817,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(17-KAI),,
25,1006818,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(18-KAI),,
26,1006819,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(19-KAI),,
27,1006820,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(20-KAI),,
28,1006821,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(21-KAI),,
29,1006822,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(22-KAI),,
30,1006823,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(23-KAI),,
31,1006824,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(24-KAI),,
32,1006825,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(25-KAI),,
33,1006826,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(26-KAI),,
34,1006827,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(27-KAI),,
35,1006828,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(28-KAI),,
36,1006829,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(29-KAI),,
37,1006830,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(30-KAI),,
38,1006831,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(31-KAI),,
39,1006832,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(32-KAI),,
40,1006833,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(33-KAI),,
41,1006834,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(34-KAI),,
42,1006835,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(35-KAI),,
43,1006836,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(36-KAI),,
44,1006837,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(37-KAI),,
45,1010044,TOKYO TO,CHIYODA KU,KAJICHO,35.6916889,139.7719416
46,1000013,TOKYO TO,CHIYODA KU,KASUMIGASEKI (TSUGINOBIRUONOZOKU),,
47,1006090,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(CHIKA,,
48,1006001,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(1-KAI,,
49,1006002,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(2-KAI,,
50,1006003,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(3-KAI,,
51,1006004,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(4-KAI,,
52,1006005,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(5-KAI,,
53,1006006,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(6-KAI,,
54,1006007,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(7-KAI,,
55,1006008,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(8-KAI,,
56,1006009,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(9-KAI,,
57,1006010,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(10-KA,,
58,1006011,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(11-KA,,
59,1006012,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(12-KA,,
60,1006013,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(13-KA,,
61,1006014,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(14-KA,,
62,1006015,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(15-KA,,
63,1006016,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(16-KA,,
64,1006017,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(17-KA,,
65,1006018,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(18-KA,,
66,1006019,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(19-KA,,
67,1006020,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(20-KA,,
68,1006021,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(21-KA,,
69,1006022,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(22-KA,,
70,1006023,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(23-KA,,
71,1006024,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(24-KA,,
72,1006025,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(25-KA,,
73,1006026,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(26-KA,,
74,1006027,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(27-KA,,
75,1006028,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(28-KA,,
76,1006029,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(29-KA,,
77,1006030,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(30-KA,,
78,1006031,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(31-KA,,
79,1006032,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(32-KA,,
80,1006033,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(33-KA,,
81,1006034,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(34-KA,,
82,1006035,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(35-KA,,
83,1006036,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(36-KA,,
84,1010029,TOKYO TO,CHIYODA KU,KANDAAIOICHO,,
85,1010063,TOKYO TO,CHIYODA KU,KANDAAWAJICHO,,
86,1010024,TOKYO TO,CHIYODA KU,KANDAIZUMICHO,,
87,1010033,TOKYO TO,CHIYODA KU,KANDAIWAMOTOCHO,,
88,1010052,TOKYO TO,CHIYODA KU,KANDAOGAWAMACHI,,
89,1010045,TOKYO TO,CHIYODA KU,KANDAKAJICHO,,
90,1010036,TOKYO TO,CHIYODA KU,KANDAKITANORIMONOCHO,,
91,1010035,TOKYO TO,CHIYODA KU,KANDAKONYACHO,,
92,1010026,TOKYO TO,CHIYODA KU,KANDASAKUMAGASHI,,
93,1010025,TOKYO TO,CHIYODA KU,KANDASAKUMACHO,,
94,1010064,TOKYO TO,CHIYODA KU,KANDASARUGAKUCHO,,
95,1010051,TOKYO TO,CHIYODA KU,KANDAJIMBOCHO,,
96,1010041,TOKYO TO,CHIYODA KU,KANDASUDACHO,,
97,1010062,TOKYO TO,CHIYODA KU,KANDASURUGADAI,35.6986932,139.7629995
98,1010046,TOKYO TO,CHIYODA KU,KANDATACHO,,
99,1010048,TOKYO TO,CHIYODA KU,KANDATSUKASAMACHI,,
100,1010043,TOKYO TO,CHIYODA KU,KANDATOMIYAMACHO,,
101,1010054,TOKYO TO,CHIYODA KU,KANDANISHIKICHO,,
102,1010037,TOKYO TO,CHIYODA KU,KANDANISHIFUKUDACHO,,
103,1010022,TOKYO TO,CHIYODA KU,KANDANERIBEICHO,,
104,1010028,TOKYO TO,CHIYODA KU,KANDAHANAOKACHO,,
105,1010034,TOKYO TO,CHIYODA KU,KANDAHIGASHIKONYACHO,,
106,1010042,TOKYO TO,CHIYODA KU,KANDAHIGASHIMATSUSHITACHO,,
107,1010027,TOKYO TO,CHIYODA KU,KANDAHIRAKAWACHO,,
108,1010023,TOKYO TO,CHIYODA KU,KANDAMATSUNAGACHO,,
109,1010038,TOKYO TO,CHIYODA KU,KANDAMIKURACHO,,
110,1010061,TOKYO TO,CHIYODA KU,KANDAMISAKICHO,,
111,1010053,TOKYO TO,CHIYODA KU,KANDAMITOSHIROCHO,,
112,1020094,TOKYO TO,CHIYODA KU,KIOICHO,35.6808091,139.7356798
113,1020091,TOKYO TO,CHIYODA KU,KITANOMARUKOEN,,
114,1020074,TOKYO TO,CHIYODA KU,KUDAMMINAMI,,
115,1020073,TOKYO TO,CHIYODA KU,KUDANKITA,35.696631,139.750947
116,1000002,TOKYO TO,CHIYODA KU,KOKYOGAIEN,,
117,1020083,TOKYO TO,CHIYODA KU,KOJIMACHI,,
